,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre,Top100
0,0.556,0.8640000000000001,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,5,0
1,0.737,0.463,-7.8279999999999985,0.0792,0.00817,0.447,0.255,0.324,123.881,9,0
2,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.16699999999999998,0.875,91.455,9,0
3,0.331,0.943,-3.188,0.0698,0.0072099999999999985,2.06e-06,0.242,0.29600000000000004,94.612,0,0
4,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.6920000000000001,90.598,5,0
5,0.542,0.905,-5.653,0.054000000000000006,0.00172,0.0104,0.136,0.374,153.398,9,0
6,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.14400000000000002,0.87,126.928,5,0
7,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.16699999999999998,0.875,91.455,9,0
8,0.419,0.934,-3.908,0.12,0.000278,0.0015,0.132,0.28600000000000003,127.288,5,0
9,0.664,0.7809999999999999,-6.5470000000000015,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,6,0
10,0.303,0.926,-3.945,0.0695,0.00115,0.00235,0.275,0.272,182.915,9,0
11,0.511,0.581,-4.93,0.0581,0.031,0.000171,0.3670000000000001,0.6679999999999999,170.852,9,0
12,0.58,0.981,-2.603,0.06,0.0171,1.07e-05,0.386,0.861,134.007,9,0
13,0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,0.411,128.019,9,0
14,0.38,0.988,-2.042,0.0639,2.64e-05,7.859999999999999e-05,0.368,0.769,186.113,9,0
15,0.58,0.604,-5.7029999999999985,0.047,0.000218,0.000579,0.477,0.645,167.78400000000005,9,0
16,0.498,0.83,-5.157,0.0421,0.00461,0.0,0.139,0.453,89.34200000000001,5,0
17,0.603,0.933,-3.358,0.171,0.00591,0.0,0.206,0.7090000000000001,96.306,5,0
18,0.402,0.914,-5.215,0.142,0.000579,0.0,0.065,0.626,196.505,6,0
19,0.433,0.959,-4.04,0.0431,0.000917,0.0,0.028,0.365,172.984,9,0
20,0.659,0.93,-3.41,0.0783,0.00364,0.00124,0.149,0.534,130.94,5,0
21,0.624,0.899,-5.71,0.0295,0.0223,0.000155,0.0975,0.797,104.055,9,0
22,0.545,0.753,-4.618,0.036000000000000004,0.0417,0.0,0.389,0.434,105.754,5,0
23,0.392,0.964,-4.441,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,5,0
24,0.695,0.8759999999999999,-4.262,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,5,0
25,0.246,0.768,-7.48,0.0387,0.0006309999999999999,0.301,0.102,0.35,169.873,9,0
26,0.563,0.86,-7.532999999999999,0.0621,0.00834,0.0106,0.39,0.517,97.867,5,0
27,0.416,0.8190000000000001,-3.974,0.0613,0.000138,0.00108,0.122,0.632,140.083,9,0
28,0.308,0.873,-4.542,0.0533,0.00022,0.000729,0.0974,0.6859999999999999,143.519,6,0
29,0.535,0.948,-4.19,0.0356,0.00225,0.0,0.376,0.778,103.183,9,0
30,0.524,0.578,-4.563,0.12,0.0132,0.00921,0.108,0.537,123.669,9,0
31,0.468,0.769,-7.0360000000000005,0.041,0.00014,0.00124,0.271,0.17,104.102,5,0
32,0.57,0.915,-4.802,0.105,0.000273,8.48e-05,0.17800000000000002,0.6759999999999999,93.54,5,0
33,0.217,0.92,-4.479,0.0628,2.860000000000001e-05,0.0,0.102,0.376,167.169,5,0
34,0.219,0.952,-3.621,0.17600000000000002,5.1e-05,0.0989,0.157,0.172,112.886,9,0
35,0.433,0.8540000000000001,-3.868,0.0483,0.000336,0.000177,0.162,0.368,89.4,9,0
36,0.509,0.843,-3.318,0.0488,0.000671,0.0008029999999999999,0.348,0.332,140.055,9,0
37,0.55,0.952,-4.664,0.0924,0.000193,0.000666,0.0614,0.391,127.804,5,0
38,0.408,0.965,-4.232,0.05,6.94e-06,0.000402,0.11,0.349,136.018,9,0
39,0.269,0.853,-4.647,0.0854,0.00024900000000000004,0.000246,0.118,0.179,141.58100000000005,9,0
40,0.365,0.894,-4.682,0.0572,3.32e-05,0.171,0.267,0.31,82.305,9,0
41,0.8170000000000001,0.539,-6.349,0.0621,0.0141,0.000496,0.099,0.158,97.062,7,0
42,0.8420000000000001,0.8009999999999999,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,7,0
43,0.83,0.4970000000000001,-6.94,0.052000000000000005,0.0983,0.0,0.0906,0.634,127.965,6,0
44,0.687,0.7659999999999999,-6.08,0.054000000000000006,0.0557,0.00107,0.146,0.303,94.973,7,0
45,0.638,0.7170000000000001,-4.722,0.0337,0.34600000000000003,0.0,0.105,0.249,100.027,6,0
